契約ID,検知日時,緯度,経度,座標に基づく都道府県名,座標に基づく市町村名,検知時車両速度,検知時運転時間,衝突感知フラグ,急停車フラグ,急ハンドルフラグ,SOS発信フラグ,アルコール検知フラグ
CTR00026,2026-08-04 00:00:56,34.367781,132.448872,広島県,広島市,16.2,290,0,0,0,0,0
CTR00230,2026-08-04 07:09:44,43.057723,141.331973,北海道,札幌市,16.3,136,0,0,0,0,0
CTR00008,2026-08-04 03:25:22,34.70222,135.197111,兵庫県,神戸市,56.6,150,0,0,0,0,0
CTR00039,2026-08-04 06:02:56,33.589197,130.4018,福岡県,福岡市,31.5,70,0,0,0,0,0
CTR00087,2026-08-04 04:33:04,33.577486,130.410583,福岡県,福岡市,40.5,105,0,0,1,0,0
CTR00150,2026-08-04 00:00:08,35.534974,139.713448,神奈川県,川崎市,22.7,299,0,0,1,0,0
CTR00035,2026-08-04 06:27:26,35.176904,136.920592,愛知県,名古屋市,88.4,12,0,0,0,0,0
CTR00068,2026-08-04 00:37:52,34.369237,132.473569,広島県,広島市,72.9,98,0,0,0,0,0
CTR00175,2026-08-04 07:52:41,38.251109,140.860624,宮城県,仙台市,78.2,39,0,0,0,0,0
CTR00037,2026-08-04 03:40:32,33.606006,130.407791,福岡県,福岡市,67.6,130,0,0,0,0,0
CTR00236,2026-08-04 00:56:13,34.711671,135.517484,大阪府,大阪市,99.2,69,0,0,0,0,0
CTR00134,2026-08-04 04:33:44,43.055625,141.356284,北海道,札幌市,,146,0,0,0,0,0
CTR00237,2026-08-04 00:27:31,35.714163,139.760952,東京都,千代田区,,130,0,0,0,0,0
CTR00039,2026-08-04 07:10:34,33.601307,130.410296,福岡県,福岡市,1.5,19,0,0,0,0,0
CTR00099,2026-08-04 04:31:10,34.400747,132.453641,広島県,広島市,66.3,262,0,1,0,0,0
CTR00134,2026-08-04 03:58:14,34.367451,132.462074,広島県,広島市,24.4,288,0,0,0,0,0
CTR00007,2026-08-04 02:22:31,43.082579,141.335609,北海道,札幌市,19.5,127,0,0,0,0,0
CTR00256,2026-08-04 04:57:32,35.44547,139.657031,神奈川県,横浜市,35.7,102,0,0,1,0,0
CTR00209,2026-08-04 07:19:41,35.537326,139.706715,神奈川県,川崎市,42.2,249,0,0,0,0,0
CTR00130,2026-08-04 01:18:07,35.444215,139.630834,神奈川県,横浜市,99.6,73,0,0,0,0,0
CTR00100,2026-08-04 00:00:08,35.195255,136.916092,愛知県,名古屋市,12.0,101,0,0,0,0,0
CTR00283,2026-08-04 03:04:49,43.073961,141.35534,北海道,札幌市,74.9,192,0,0,0,0,0
CTR00018,2026-08-04 05:27:19,35.17515,136.904167,愛知県,名古屋市,50.9,83,0,0,1,0,0
CTR00146,2026-08-04 03:58:47,33.592897,130.392878,福岡県,福岡市,88.7,56,0,0,0,0,0
CTR00110,2026-08-04 02:32:46,34.675,135.200896,兵庫県,神戸市,7.1,295,0,1,0,0,0
CTR00169,2026-08-04 01:40:56,34.703529,135.515338,大阪府,大阪市,92.4,109,0,0,0,0,0
CTR00209,2026-08-04 06:50:03,43.076238,141.334106,北海道,札幌市,88.4,275,0,0,0,0,0
CTR00049,2026-08-04 00:06:26,34.707017,135.521731,大阪府,大阪市,60.1,50,0,0,0,0,0
CTR00063,2026-08-04 06:57:23,35.716991,139.781705,東京都,千代田区,42.7,290,0,0,0,0,0
CTR00282,2026-08-04 00:42:19,35.519039,139.682938,神奈川県,川崎市,,91,0,0,0,0,0
CTR00051,2026-08-04 07:13:20,35.641124,139.738384,東京都,港区,33.7,74,0,0,0,0,0
CTR00232,2026-08-04 02:55:59,35.70326,139.682196,東京都,新宿区,4.0,295,0,0,0,0,0
CTR00186,2026-08-04 02:56:39,33.600471,130.417949,福岡県,福岡市,53.3,262,0,0,0,0,0
CTR00255,2026-08-04 05:40:12,35.457244,139.650343,神奈川県,横浜市,0.9,94,0,0,0,0,0
CTR00256,2026-08-04 07:38:12,35.686492,139.78502,東京都,千代田区,6.4,87,0,0,0,0,0
CTR00051,2026-08-04 02:55:43,43.064278,141.363297,北海道,札幌市,58.2,31,0,0,0,0,0
CTR00179,2026-08-04 05:56:15,35.514668,139.711718,神奈川県,川崎市,18.4,217,0,1,1,0,0
CTR00158,2026-08-04 02:07:00,38.282,140.851762,宮城県,仙台市,10.4,150,0,0,0,0,0
CTR00096,2026-08-04 02:30:06,34.694144,135.500121,大阪府,大阪市,57.1,22,0,0,0,0,0
CTR00074,2026-08-04 07:23:01,35.681207,139.761064,東京都,千代田区,62.0,8,0,0,0,0,0
