契約ID,検知日時,緯度,経度,座標に基づく都道府県名,座標に基づく市町村名,検知時車両速度,検知時運転時間,衝突感知フラグ,急停車フラグ,急ハンドルフラグ,SOS発信フラグ,アルコール検知フラグ
CTR00258,2026-08-02 07:44:17,35.539839,139.715611,神奈川県,川崎市,50.6,92,0,0,0,0,0
CTR00221,2026-08-02 02:54:59,35.680894,139.776299,東京都,千代田区,56.1,258,0,0,0,0,0
CTR00211,2026-08-02 03:08:46,35.189317,136.916237,愛知県,名古屋市,21.0,196,0,0,0,0,0
CTR00124,2026-08-02 07:20:45,43.073799,141.364913,北海道,札幌市,56.6,142,0,1,1,0,0
CTR00154,2026-08-02 02:10:28,38.279709,140.874377,宮城県,仙台市,98.0,73,0,0,0,0,0
CTR00068,2026-08-02 01:44:30,35.444475,139.626195,神奈川県,横浜市,88.0,96,0,0,0,0,0
CTR00248,2026-08-02 06:43:36,35.714669,139.774648,東京都,千代田区,10.5,283,0,0,0,0,0
CTR00008,2026-08-02 00:56:41,34.684367,135.205799,兵庫県,神戸市,31.2,51,0,0,0,0,0
CTR00263,2026-08-02 06:17:37,35.692824,139.788987,東京都,千代田区,50.7,224,0,0,0,0,0
CTR00246,2026-08-02 02:50:43,35.713597,139.785244,東京都,千代田区,96.7,67,0,0,0,0,0
CTR00223,2026-08-02 02:37:45,43.050689,141.327404,北海道,札幌市,52.7,285,0,0,0,0,0
CTR00218,2026-08-02 07:49:11,35.679095,139.677379,東京都,新宿区,45.0,79,0,0,0,0,0
CTR00004,2026-08-02 04:55:30,33.590906,130.393912,福岡県,福岡市,3.3,121,0,0,0,0,0
CTR00173,2026-08-02 00:34:35,34.698554,135.504667,大阪府,大阪市,53.3,279,0,0,0,0,0
CTR00019,2026-08-02 00:57:15,38.28349,140.876238,宮城県,仙台市,67.5,94,0,0,1,0,0
CTR00117,2026-08-02 00:40:58,35.6598,139.758561,東京都,港区,82.0,272,0,0,0,0,0
CTR00127,2026-08-02 05:37:52,34.394467,132.461392,広島県,広島市,69.2,150,0,0,0,0,0
CTR00139,2026-08-02 04:33:47,34.695493,135.48891,大阪府,大阪市,100.0,115,0,0,0,0,0
CTR00249,2026-08-02 04:49:25,34.694926,135.183552,兵庫県,神戸市,3.9,149,0,0,0,0,0
CTR00236,2026-08-02 00:40:11,35.458242,139.641549,神奈川県,横浜市,28.6,220,0,0,0,0,0
CTR00063,2026-08-02 06:13:38,35.171742,136.887632,愛知県,名古屋市,22.1,212,0,0,1,0,0
CTR00215,2026-08-02 03:01:27,34.686304,135.211744,兵庫県,神戸市,47.6,237,0,1,0,0,0
CTR00211,2026-08-02 05:45:56,38.288179,140.853592,宮城県,仙台市,38.5,45,0,0,0,0,1
CTR00049,2026-08-02 04:16:56,35.192781,136.908152,愛知県,名古屋市,68.8,17,0,0,1,0,0
CTR00050,2026-08-02 04:00:10,43.059874,141.353265,北海道,札幌市,63.7,256,0,0,0,0,0
CTR00274,2026-08-02 01:31:04,35.685344,139.761658,東京都,千代田区,,264,0,0,0,0,0
CTR00247,2026-08-02 03:00:31,34.676567,135.194576,兵庫県,神戸市,24.7,43,0,0,0,0,0
CTR00074,2026-08-02 07:26:28,35.437981,139.655048,神奈川県,横浜市,63.4,220,0,0,0,0,0
CTR00141,2026-08-02 06:30:50,33.606455,130.387852,福岡県,福岡市,95.5,133,0,0,0,0,0
CTR00282,2026-08-02 00:39:39,35.6896,139.767222,東京都,千代田区,94.6,44,0,0,0,0,0
CTR00239,2026-08-02 07:37:09,34.399237,132.452205,広島県,広島市,32.5,29,0,0,0,0,0
CTR00039,2026-08-02 07:48:51,34.700599,135.197199,兵庫県,神戸市,38.1,291,0,1,0,0,0
